Year,Total Greenhouse Gas emissions (kilotonnes CO2-e) ,Per capita emissions (tonnes CO2-e),Carbon Intensity (kg CO2-e per HK Dollar GDP) (1)
2000,33200,5,0.021
2001,33200,4.9,0.021
2002,35100,5.2,0.022
2003,38700,5.8,0.024
2004,38800,5.7,0.022
2005,41300,6.1,0.022
2006,42300,6.2,0.021
2007,42800,6.2,0.02
2008,41300,5.9,0.019
2009,42000,6,0.019
2010,40500,5.8,0.018
2011,42000,5.9,0.017
2012,42300,5.9,0.017
2013,43400,6,0.017
2014,44200,6.1,0.017
2015,40800,5.6,0.015
2016,41000,5.6,0.015
2017,40100,5.4,0.014
2018,40400,5.4,0.014
2019,39600,5.3,0.014
2020,33300,4.5,0.012
2021,34700,4.7,0.012
