Year,Total Carbon emissions (kilotonnes) 
1950,1319
1951,1557
1952,1535
1953,1729
1954,1799
1955,1879
1956,2121
1957,2363
1958,2374
1959,2703
1960,2953
1961,3370
1962,3681
1963,4246
1964,4220
1965,4803
1966,5162
1967,6052
1968,6198
1969,7752
1970,8392
1971,9151
1972,9276
1973,9286
1974,10667
1975,11008
1976,12490
1977,14204
1978,15714
1979,15838
1980,16600
1981,18617
1982,19623
1983,20912
1984,22225
1985,22881
1986,25526
1987,28086
1988,29285
1989,30141
1990,27148
1991,28463
1992,32919
1993,34778
1994,31079
1995,31267
1996,28909
1997,30497
1998,38925
1999,42549
2000,40283
2001,37802
2002,39485
2003,43202
2004,41569
2005,43731
2006,41915
2007,43572
2008,42791
2009,41579
2010,40063
2011,43150
2012,42742
2013,44307
2014,45492
2015,42400
2016,43366
2017,42431
2018,42601
2019,41900
2020,33497
2021,32776
2022,30569
