Year,Annual Total Rainfall (mm)
1950,2075.5
1951,2363.9
1952,2544.3
1953,2360.2
1954,1367
1955,2350.2
1956,1649.3
1957,2950.3
1958,2033.6
1959,2797.4
1960,2237
1961,2232.4
1962,1741
1963,901.1
1964,2432.1
1965,2352.6
1966,2398.2
1967,1570.6
1968,2288.2
1969,1895.5
1970,2316.3
1971,1903.8
1972,2807.3
1973,3100.4
1974,2322.9
1975,3028.7
1976,2197.2
1977,1680
1978,2593
1979,2614.7
1980,1710.6
1981,1659.5
1982,3247.5
1983,2893.8
1984,2017
1985,2191.4
1986,2338.3
1987,2319.3
1988,1685
1989,1944.6
1990,2046.9
1991,1639.1
1992,2678.8
1993,2343.9
1994,2725.6
1995,2754.4
1996,2249.1
1997,3343
1998,2564.6
1999,2129.1
2000,2752.3
2001,3091.8
2002,2490
2003,1941.9
2004,1738.6
2005,3214.5
2006,2627.8
2007,1706.9
2008,3066.2
2009,2182.3
2010,2371.7
2011,1487.2
2012,1924.7
2013,2847.3
2014,2638.3
2015,1874.5
2016,3026.8
2017,2572.1
2018,2162.9
2019,2396.2
2020,2395
2021,2307.1
2022,2205.4
