Year,Mean Relative Humidity (%)
1950,80.25
1951,81.5
1952,81.31
1953,82.51
1954,79.08
1955,77.01
1956,78.01
1957,80.38
1958,77.73
1959,78.75
1960,78.99
1961,78.42
1962,75.89
1963,72.96
1964,77.43
1965,77.05
1966,75.72
1967,74.1
1968,76.84
1969,76.6
1970,77.62
1971,73.66
1972,79.74
1973,78.99
1974,76.96
1975,79.09
1976,77.46
1977,76.52
1978,79.22
1979,78.5
1980,77.57
1981,76.99
1982,78.45
1983,77.67
1984,77.35
1985,79.68
1986,77.68
1987,79.39
1988,78.17
1989,77.99
1990,79.19
1991,77.94
1992,78.51
1993,78.19
1994,79.14
1995,77.41
1996,76.39
1997,79.31
1998,79.17
1999,75.4
2000,78.07
2001,77.92
2002,79.18
2003,77.48
2004,76.99
2005,79.27
2006,80.47
2007,76.75
2008,76.76
2009,77.27
2010,80.16
2011,75.86
2012,80.9
2013,78.08
2014,78.28
2015,78.62
2016,80.56
2017,78.03
2018,76.99
2019,78.77
2020,77.61
2021,75.68
2022,75.97
